account_id,account_name,plan_tier,user_segment,device_platform,acquisition_channel,recipe_saves,account_age_days,contract_value_aud,churned_90d,upgraded_90d
acc_000051,Baker-Rodriguez Kitchen,premium,budget_cooking,web,referral,176,493,71.25,False,False
acc_000052,Johnson Family,free,health_fitness,web,organic_search,150,603,0.0,False,False
acc_000053,Garcia Family,premium,family_planning,ios,paid_social,162,460,81.33,True,False
acc_000054,Robinson Family,free,dietary_specific,android,social_media,22,479,0.0,False,False
acc_000055,Clark-Jones Kitchen,free,foodie,android,referral,13,466,0.0,False,False
acc_000056,Adams & Anderson,premium,budget_cooking,ios,app_store_search,23,431,91.09,False,False
acc_000057,Scott-Thomas Kitchen,premium,foodie,ios,referral,98,162,76.2,False,False
acc_000058,The Martins,free,health_fitness,android,organic_search,168,607,0.0,False,False
acc_000059,Lewis Household,family,health_fitness,ios,organic_search,11,434,142.37,False,False
acc_000060,Lewis Family,free,dietary_specific,ios,app_store_search,25,464,0.0,False,False
acc_000061,Green Household,premium,family_planning,android,referral,84,96,84.17,False,False
acc_000062,Johnson Household,free,budget_cooking,ios,app_store_search,111,106,0.0,True,False
acc_000063,Hall-Wilson Kitchen,free,family_planning,ios,social_media,174,593,0.0,True,False
acc_000064,Lewis & Harris,free,family_planning,ios,app_store_search,119,23,0.0,True,False
acc_000065,White Household,premium,family_planning,web,organic_search,60,123,93.04,False,False
acc_000066,Robinson Household,family,budget_cooking,android,organic_search,155,249,130.41,True,False
acc_000067,Young-Carter Kitchen,family,foodie,ios,referral,93,607,131.67,True,False
acc_000068,Green Family,premium,family_planning,ios,organic_search,75,507,91.55,True,False
acc_000069,The Adamss,family,budget_cooking,ios,influencer,67,28,118.77,False,False
acc_000070,Johnson Family,premium,foodie,web,referral,56,638,77.93,False,False
acc_000071,Rodriguez Household,free,health_fitness,ios,referral,171,393,0.0,True,False
acc_000072,Baker Household,premium,foodie,web,app_store_search,94,720,86.61,False,False
acc_000073,Jones Household,premium,health_fitness,ios,organic_search,23,479,79.16,False,False
acc_000074,Young Household,premium,foodie,android,organic_search,84,252,76.79,False,False
acc_000075,Thompson-King Kitchen,premium,health_fitness,ios,influencer,150,257,83.71,False,False
acc_000076,Brown Family,premium,family_planning,ios,social_media,133,688,84.92,False,False
acc_000077,Hall Household,free,health_fitness,android,app_store_search,159,295,0.0,False,False
acc_000078,Harris & Robinson,family,foodie,android,influencer,110,234,127.29,False,False
acc_000079,Allen Family,family,budget_cooking,ios,app_store_search,23,101,146.3,False,False
acc_000080,Lewis Household,free,foodie,android,organic_search,73,66,0.0,False,False
acc_000081,Adams & Scott,free,foodie,ios,app_store_search,109,245,0.0,False,True
acc_000082,Rodriguez Household,free,family_planning,android,paid_social,1,373,0.0,False,False
acc_000083,Hall & Robinson,premium,health_fitness,ios,referral,79,392,78.77,True,False
acc_000084,Johnson-White Kitchen,premium,family_planning,android,referral,131,234,90.31,False,False
acc_000085,Moore & Scott,free,health_fitness,web,influencer,74,275,0.0,False,False
acc_000086,Jones & Smith,free,dietary_specific,ios,app_store_search,80,93,0.0,False,False
acc_000087,The Lees,free,dietary_specific,ios,influencer,22,384,0.0,True,False
acc_000088,Garcia-Miller Kitchen,free,foodie,ios,app_store_search,89,371,0.0,False,False
acc_000089,Carter & Thomas,free,budget_cooking,ios,paid_social,126,657,0.0,False,False
acc_000090,Johnson Household,free,health_fitness,ios,referral,151,295,0.0,False,False
acc_000091,Miller-Hall Kitchen,premium,dietary_specific,ios,social_media,118,407,77.97,False,False
acc_000092,Garcia & White,free,health_fitness,ios,organic_search,21,365,0.0,False,False
acc_000093,The Nelsons,premium,budget_cooking,android,app_store_search,165,660,79.82,False,False
acc_000094,Allen & Lewis,free,foodie,ios,referral,178,685,0.0,False,False
acc_000095,The Thomass,premium,budget_cooking,android,influencer,134,715,79.92,False,False
acc_000096,The Joness,free,health_fitness,ios,organic_search,129,117,0.0,True,False
acc_000097,Taylor Family,free,budget_cooking,android,organic_search,11,462,0.0,False,False
acc_000098,The Harriss,free,health_fitness,web,influencer,94,212,0.0,False,False
acc_000099,Martin Family,premium,health_fitness,ios,social_media,141,394,83.57,False,False
acc_000100,White Household,free,dietary_specific,android,organic_search,106,41,0.0,False,False
acc_000101,Wilson-Scott Kitchen,premium,foodie,android,app_store_search,120,307,72.65,True,False
acc_000102,Moore-Young Kitchen,family,foodie,ios,influencer,77,257,122.5,False,False
acc_000103,Allen-King Kitchen,premium,budget_cooking,ios,app_store_search,61,375,72.57,False,False
acc_000104,The Walkers,premium,family_planning,ios,social_media,64,396,82.13,False,False
acc_000105,The Johnsons,free,foodie,android,app_store_search,118,715,0.0,False,False
acc_000106,Thomas & Jones,family,family_planning,ios,referral,121,570,132.69,False,False
acc_000107,The Williamss,premium,family_planning,ios,paid_social,47,361,83.55,False,False
acc_000108,Jackson & Carter,premium,family_planning,ios,social_media,114,327,93.63,False,False
acc_000109,The Martins,premium,budget_cooking,ios,social_media,93,429,86.11,False,True
acc_000110,The Whites,premium,family_planning,ios,social_media,39,633,72.31,False,False
acc_000111,Moore Household,family,health_fitness,ios,social_media,30,589,126.53,False,False
acc_000112,The Clarks,premium,dietary_specific,ios,app_store_search,81,712,78.72,False,False
acc_000113,Hall & Brown,premium,foodie,ios,app_store_search,60,156,82.92,False,False
acc_000114,Green-King Kitchen,premium,budget_cooking,ios,referral,147,433,77.25,False,False
acc_000115,Davis-Nelson Kitchen,free,dietary_specific,ios,organic_search,31,70,0.0,False,False
acc_000116,Garcia-Robinson Kitchen,family,budget_cooking,ios,social_media,70,578,128.26,False,False
acc_000117,Johnson-Baker Kitchen,free,dietary_specific,ios,organic_search,11,97,0.0,True,False
acc_000118,Thompson-Davis Kitchen,free,dietary_specific,ios,organic_search,103,715,0.0,True,False
acc_000119,Wilson & Brown,free,dietary_specific,ios,paid_social,102,367,0.0,False,False
acc_000120,Green Household,family,dietary_specific,ios,paid_social,83,177,137.84,True,False
acc_000121,Scott & Martin,family,foodie,web,app_store_search,12,375,121.45,False,False
acc_000122,Carter Household,premium,budget_cooking,ios,referral,143,597,80.5,False,False
acc_000123,Johnson & Jones,free,health_fitness,ios,paid_social,93,585,0.0,False,False
acc_000124,Moore Family,premium,foodie,ios,organic_search,83,157,86.03,False,False
acc_000125,Thompson-Nelson Kitchen,premium,family_planning,android,referral,28,703,69.22,False,True
acc_000126,Miller Family,premium,budget_cooking,android,app_store_search,158,658,75.3,False,False
acc_000127,Nelson-Thompson Kitchen,free,budget_cooking,ios,influencer,15,496,0.0,False,False
acc_000128,Anderson & Adams,free,family_planning,android,influencer,177,672,0.0,False,False
acc_000129,Baker & White,premium,budget_cooking,android,referral,89,505,74.31,False,False
acc_000130,Allen Household,family,budget_cooking,ios,app_store_search,88,94,125.13,False,False
acc_000131,The Smiths,premium,foodie,ios,social_media,57,557,85.76,True,False
acc_000132,The Rodriguezs,premium,dietary_specific,android,referral,73,218,78.33,False,False
acc_000133,Hall & Adams,premium,budget_cooking,web,app_store_search,126,420,75.83,True,False
acc_000134,Miller & Rodriguez,free,dietary_specific,ios,referral,129,151,0.0,False,False
acc_000135,The Wilsons,premium,budget_cooking,ios,organic_search,109,429,83.92,False,False
acc_000136,Clark & Adams,premium,family_planning,ios,social_media,2,600,75.96,False,False
acc_000137,The Bakers,premium,foodie,web,referral,56,240,72.36,True,False
acc_000138,The Daviss,premium,budget_cooking,android,influencer,114,552,87.17,False,False
acc_000139,Moore Household,free,foodie,ios,app_store_search,125,611,0.0,False,False
acc_000140,Adams Family,premium,budget_cooking,ios,app_store_search,0,274,81.8,True,False
acc_000141,The Nelsons,free,family_planning,android,influencer,107,675,0.0,False,False
acc_000142,The Allens,premium,family_planning,ios,social_media,32,555,76.86,True,False
acc_000143,Smith Household,free,family_planning,ios,paid_social,8,129,0.0,False,False
acc_000144,Anderson-Wright Kitchen,premium,family_planning,android,organic_search,11,264,93.67,True,False
acc_000145,Rodriguez Family,free,foodie,android,referral,36,323,0.0,True,False
acc_000146,The Scotts,premium,health_fitness,ios,social_media,134,404,80.21,False,False
acc_000147,The Browns,premium,dietary_specific,android,paid_social,135,584,91.97,False,False
acc_000148,Davis & Baker,free,family_planning,android,app_store_search,48,88,0.0,False,False
acc_000149,Taylor & Thompson,family,health_fitness,web,paid_social,122,134,123.25,True,False
acc_000150,Taylor-Adams Kitchen,free,family_planning,android,referral,81,494,0.0,True,False
acc_000151,The Lewiss,premium,family_planning,ios,app_store_search,62,597,87.92,False,False
acc_000152,The Johnsons,premium,family_planning,ios,social_media,138,202,91.53,False,False
acc_000153,Smith Household,premium,health_fitness,android,app_store_search,116,531,71.94,False,False
acc_000154,The Browns,free,budget_cooking,ios,app_store_search,178,528,0.0,False,False
acc_000155,Williams Household,premium,family_planning,ios,influencer,95,94,90.8,True,False
acc_000156,Brown Household,free,family_planning,android,app_store_search,179,23,0.0,False,False
acc_000157,Robinson & Miller,free,dietary_specific,android,social_media,11,291,0.0,True,False
acc_000158,White Household,free,health_fitness,ios,organic_search,19,421,0.0,False,False
acc_000159,The Kings,premium,dietary_specific,ios,referral,87,91,75.41,False,False
acc_000160,The Williamss,free,dietary_specific,ios,social_media,97,690,0.0,False,False
acc_000161,Harris & Smith,premium,family_planning,ios,app_store_search,113,329,83.33,False,False
acc_000162,The Youngs,premium,foodie,android,organic_search,74,26,71.14,False,False
acc_000163,Walker Household,free,family_planning,ios,app_store_search,70,459,0.0,False,False
acc_000164,Walker-Anderson Kitchen,free,health_fitness,ios,organic_search,84,403,0.0,False,False
acc_000165,King-Jackson Kitchen,family,health_fitness,ios,paid_social,74,340,127.53,False,False
acc_000166,The Kings,free,dietary_specific,ios,influencer,118,41,0.0,True,False
acc_000167,Harris & Johnson,premium,health_fitness,android,influencer,18,400,92.52,False,False
acc_000168,White Family,premium,budget_cooking,android,organic_search,63,125,90.46,False,False
acc_000169,The Robinsons,free,health_fitness,ios,influencer,148,585,0.0,True,False
acc_000170,Jackson Family,free,health_fitness,ios,referral,29,101,0.0,False,False
acc_000171,Young & Allen,free,family_planning,android,app_store_search,165,365,0.0,False,False
acc_000172,The Whites,premium,dietary_specific,ios,referral,47,202,81.75,True,False
acc_000173,Anderson Family,free,budget_cooking,android,social_media,47,563,0.0,False,False
acc_000174,The Joness,premium,family_planning,android,social_media,180,703,77.99,False,False
acc_000175,Jones Family,premium,family_planning,ios,referral,124,204,72.35,False,False
acc_000176,Moore Household,premium,dietary_specific,web,referral,98,213,68.43,False,False
acc_000177,Taylor & Allen,premium,health_fitness,ios,app_store_search,43,309,70.88,False,False
acc_000178,Jackson Family,premium,budget_cooking,android,referral,108,237,87.64,False,False
acc_000179,Davis & Williams,family,health_fitness,android,app_store_search,176,616,133.04,False,False
acc_000180,Lee Household,premium,foodie,ios,paid_social,74,313,81.49,False,False
acc_000181,Taylor Family,family,dietary_specific,ios,organic_search,37,269,120.82,False,False
acc_000182,Smith Household,free,budget_cooking,android,referral,177,298,0.0,False,False
acc_000183,Allen Family,premium,family_planning,android,referral,136,78,72.7,False,False
acc_000184,Carter & Baker,premium,dietary_specific,android,app_store_search,117,655,86.46,False,False
acc_000185,Wilson Household,free,dietary_specific,ios,social_media,21,270,0.0,False,False
acc_000186,Harris Household,free,foodie,ios,app_store_search,113,710,0.0,False,False
acc_000187,The Youngs,free,health_fitness,android,app_store_search,76,390,0.0,False,False
acc_000188,White & Nelson,premium,budget_cooking,android,app_store_search,157,435,80.13,True,False
acc_000189,The Daviss,premium,health_fitness,android,app_store_search,153,629,88.18,False,True
acc_000190,Jackson Family,premium,family_planning,ios,organic_search,126,259,80.82,False,False
acc_000191,Moore-Hall Kitchen,family,foodie,ios,influencer,18,496,141.46,False,False
acc_000192,Thomas Household,premium,family_planning,ios,social_media,157,564,84.01,True,False
acc_000193,The Robinsons,free,family_planning,web,app_store_search,22,264,0.0,False,True
acc_000194,Rodriguez Household,free,budget_cooking,android,app_store_search,133,369,0.0,False,False
acc_000195,Allen & Jackson,free,family_planning,ios,app_store_search,160,604,0.0,False,False
acc_000196,Adams-Green Kitchen,premium,dietary_specific,android,app_store_search,0,535,87.89,False,False
acc_000197,Johnson-Davis Kitchen,premium,budget_cooking,android,app_store_search,106,268,71.9,True,False
acc_000198,Hall-Thompson Kitchen,family,dietary_specific,ios,referral,79,303,130.22,False,False
acc_000199,Smith Family,family,dietary_specific,android,influencer,62,573,131.3,False,False
acc_000200,Baker & Young,premium,budget_cooking,ios,social_media,107,257,79.78,True,False
acc_000201,Thomas & Wright,premium,budget_cooking,android,social_media,100,666,87.17,False,False
acc_000202,Davis & Anderson,free,family_planning,ios,app_store_search,27,612,0.0,False,False
acc_000203,Moore & Robinson,family,health_fitness,android,referral,154,727,130.06,False,False
acc_000204,Carter Family,premium,health_fitness,web,organic_search,140,583,93.14,False,False
acc_000205,Jones & Baker,free,foodie,android,social_media,19,279,0.0,False,False
acc_000206,Martin-Garcia Kitchen,free,dietary_specific,ios,paid_social,101,457,0.0,False,False
acc_000207,Lewis Household,premium,health_fitness,ios,referral,122,577,86.39,False,False
acc_000208,Baker Household,family,budget_cooking,ios,social_media,88,510,127.93,False,False
acc_000209,Carter Family,premium,foodie,ios,social_media,40,252,82.05,False,False
acc_000210,Clark-Nelson Kitchen,free,budget_cooking,android,app_store_search,81,620,0.0,False,True
acc_000211,The Smiths,free,dietary_specific,android,organic_search,138,518,0.0,False,False
acc_000212,Nelson Family,premium,family_planning,ios,organic_search,15,345,87.91,False,False
acc_000213,King-Davis Kitchen,premium,family_planning,ios,paid_social,163,461,74.4,True,False
acc_000214,Hall-Adams Kitchen,premium,family_planning,android,app_store_search,0,195,81.74,True,False
acc_000215,Wright & Robinson,free,foodie,web,app_store_search,60,93,0.0,False,False
acc_000216,Green Family,premium,family_planning,ios,app_store_search,27,276,82.75,True,False
acc_000217,Williams Family,free,foodie,android,social_media,57,717,0.0,False,False
acc_000218,Lewis Family,free,health_fitness,web,paid_social,152,360,0.0,False,False
acc_000219,The Walkers,free,health_fitness,ios,app_store_search,141,727,0.0,True,False
acc_000220,Carter Household,free,health_fitness,ios,organic_search,153,654,0.0,True,False
acc_000221,Thompson & Davis,free,family_planning,ios,social_media,164,107,0.0,False,False
acc_000222,Young Family,premium,health_fitness,android,app_store_search,88,698,86.41,False,False
acc_000223,The Martins,premium,health_fitness,ios,referral,128,49,90.26,False,False
acc_000224,Wright-Brown Kitchen,family,budget_cooking,ios,referral,111,713,125.2,False,False
acc_000225,Lee Household,premium,family_planning,ios,referral,179,26,85.55,False,False
acc_000226,Hall Family,premium,health_fitness,ios,social_media,105,366,83.33,False,False
acc_000227,Taylor Household,free,dietary_specific,ios,app_store_search,68,500,0.0,False,False
acc_000228,Thompson & Young,family,health_fitness,ios,influencer,68,342,134.01,False,False
acc_000229,Scott Family,premium,foodie,ios,referral,103,532,78.82,False,False
acc_000230,Nelson-Thompson Kitchen,free,family_planning,ios,referral,129,489,0.0,False,False
acc_000231,The Nelsons,free,health_fitness,android,influencer,23,719,0.0,False,False
acc_000232,Nelson & Clark,premium,family_planning,ios,app_store_search,2,712,91.13,True,False
acc_000233,Scott-White Kitchen,premium,family_planning,ios,app_store_search,77,491,81.95,False,False
acc_000234,Young Household,premium,family_planning,ios,app_store_search,163,297,65.65,False,False
acc_000235,Johnson-Clark Kitchen,premium,budget_cooking,android,social_media,35,711,79.9,False,False
acc_000236,The Millers,premium,family_planning,android,influencer,121,667,79.37,False,False
acc_000237,White Family,premium,budget_cooking,android,organic_search,85,710,93.97,False,False
acc_000238,The Greens,family,foodie,android,social_media,18,649,137.22,False,False
acc_000239,The Williamss,free,dietary_specific,android,paid_social,80,160,0.0,False,False
acc_000240,Miller Household,premium,health_fitness,android,referral,33,104,78.55,False,False
acc_000241,Anderson Household,family,budget_cooking,ios,app_store_search,160,18,136.61,False,False
acc_000242,Jackson Family,free,family_planning,android,social_media,111,359,0.0,True,False
acc_000243,Lee-Hall Kitchen,free,health_fitness,web,app_store_search,150,36,0.0,False,False
acc_000244,Lewis Household,family,foodie,android,app_store_search,29,720,136.16,False,False
acc_000245,The Taylors,premium,family_planning,android,app_store_search,130,121,81.47,True,False
acc_000246,Baker Family,free,family_planning,ios,social_media,176,226,0.0,True,False
acc_000247,Green & Scott,free,health_fitness,ios,influencer,65,117,0.0,True,False
acc_000248,Green & Brown,premium,family_planning,android,app_store_search,2,60,70.97,True,False
acc_000249,Brown Household,free,family_planning,web,app_store_search,176,408,0.0,False,False
acc_000250,The Scotts,family,budget_cooking,ios,organic_search,145,508,134.51,True,False
acc_000251,Davis & Nelson,premium,foodie,android,referral,66,78,73.7,False,False
acc_000252,The Johnsons,premium,budget_cooking,android,referral,123,268,88.85,False,False
acc_000253,Wilson-Thompson Kitchen,premium,family_planning,ios,app_store_search,82,517,81.54,False,False
acc_000254,Nelson-Lewis Kitchen,premium,dietary_specific,ios,app_store_search,167,523,81.96,False,False
acc_000255,The Martins,premium,foodie,ios,referral,57,69,70.57,False,False
acc_000256,The Harriss,free,family_planning,android,influencer,133,574,0.0,False,False
acc_000257,Walker Family,free,dietary_specific,ios,referral,86,209,0.0,False,False
acc_000258,The Bakers,premium,foodie,ios,paid_social,135,18,83.79,False,False
acc_000259,The Jacksons,premium,health_fitness,ios,social_media,129,343,73.19,True,False
acc_000260,The Jacksons,free,foodie,android,social_media,80,574,0.0,False,False
acc_000261,Anderson Household,premium,budget_cooking,ios,app_store_search,143,374,79.81,False,False
acc_000262,Anderson Household,premium,health_fitness,ios,social_media,68,218,85.7,True,False
acc_000263,King Household,free,family_planning,android,social_media,57,589,0.0,True,False
acc_000264,Davis & Lewis,family,family_planning,web,paid_social,141,334,143.49,False,False
acc_000265,Johnson & Taylor,premium,foodie,android,influencer,75,212,88.08,False,False
acc_000266,Moore & Walker,free,foodie,ios,referral,10,172,0.0,False,False
acc_000267,Jackson & Green,free,budget_cooking,ios,paid_social,17,547,0.0,False,False
acc_000268,Hall Household,free,family_planning,web,social_media,143,500,0.0,True,False
acc_000269,The Martins,premium,family_planning,web,paid_social,65,409,71.07,False,False
acc_000270,Green Household,free,health_fitness,ios,paid_social,136,564,0.0,False,False
acc_000271,Williams & Miller,free,budget_cooking,android,influencer,165,459,0.0,False,True
acc_000272,Hall-Lee Kitchen,premium,foodie,ios,app_store_search,115,411,70.2,True,False
acc_000273,White Family,free,budget_cooking,ios,social_media,175,310,0.0,False,False
acc_000274,White-Nelson Kitchen,free,health_fitness,android,influencer,75,572,0.0,False,False
acc_000275,The Bakers,family,health_fitness,ios,social_media,137,417,129.26,True,False
acc_000276,Carter-Thompson Kitchen,free,health_fitness,android,app_store_search,171,199,0.0,False,False
acc_000277,Miller & Moore,free,budget_cooking,ios,app_store_search,124,608,0.0,True,False
acc_000278,Taylor & Jackson,premium,family_planning,android,social_media,80,387,77.63,True,False
acc_000279,Taylor Household,family,family_planning,ios,referral,27,578,135.54,False,False
acc_000280,Thompson & King,premium,dietary_specific,android,social_media,148,609,55.38,False,False
acc_000281,Carter-Robinson Kitchen,premium,dietary_specific,android,organic_search,118,151,81.25,False,True
acc_000282,The Taylors,free,health_fitness,android,social_media,123,163,0.0,False,False
acc_000283,The Taylors,premium,budget_cooking,ios,organic_search,10,61,71.85,False,False
acc_000284,King Household,free,family_planning,android,organic_search,132,93,0.0,False,False
acc_000285,Wright Family,premium,health_fitness,ios,app_store_search,71,672,83.72,False,False
acc_000286,The Garcias,premium,foodie,android,social_media,5,434,65.3,False,False
acc_000287,Harris-Jones Kitchen,premium,family_planning,web,social_media,72,691,75.1,False,False
acc_000288,Young Family,premium,health_fitness,android,app_store_search,87,716,80.85,True,False
acc_000289,Young Family,premium,foodie,ios,organic_search,9,628,71.86,False,False
acc_000290,Brown Family,premium,family_planning,ios,social_media,123,248,80.77,False,False
acc_000291,White & Davis,premium,dietary_specific,ios,social_media,104,570,71.6,False,True
acc_000292,King & Thompson,premium,health_fitness,ios,social_media,137,281,80.22,False,False
acc_000293,Davis & Harris,premium,foodie,web,social_media,35,421,78.69,False,False
acc_000294,Davis Household,premium,foodie,android,app_store_search,162,412,77.65,True,False
acc_000295,The Adamss,premium,dietary_specific,ios,social_media,152,307,93.61,False,False
acc_000296,Carter & King,free,foodie,ios,app_store_search,172,187,0.0,True,False
acc_000297,Davis Family,premium,family_planning,ios,app_store_search,23,84,76.63,False,False
acc_000298,Wright Family,family,foodie,ios,referral,143,123,125.87,False,False
acc_000299,The Carters,family,foodie,android,influencer,174,483,130.59,False,False
acc_000300,Anderson-Davis Kitchen,premium,family_planning,ios,social_media,63,283,73.59,False,False
acc_000301,Jackson Household,free,dietary_specific,android,organic_search,51,524,0.0,False,False
acc_000302,Taylor-Miller Kitchen,family,budget_cooking,android,social_media,10,568,136.7,False,False
acc_000303,King Household,free,health_fitness,android,app_store_search,122,447,0.0,True,False
acc_000304,Thompson & Hall,premium,family_planning,android,app_store_search,97,229,76.46,False,False
acc_000305,Taylor Family,free,family_planning,ios,influencer,102,387,0.0,False,False
acc_000306,King-Anderson Kitchen,family,health_fitness,android,influencer,2,498,118.88,False,False
acc_000307,Adams Household,family,health_fitness,ios,app_store_search,65,234,124.23,False,False
acc_000308,King Household,premium,family_planning,android,social_media,147,604,76.19,False,False
acc_000309,Garcia & Davis,premium,family_planning,android,app_store_search,163,185,81.56,False,False
acc_000310,Wilson Household,premium,budget_cooking,android,referral,92,469,82.19,False,False
acc_000311,Brown Household,free,family_planning,ios,paid_social,140,498,0.0,False,False
acc_000312,Thomas-Thompson Kitchen,premium,dietary_specific,ios,app_store_search,113,304,78.56,False,False
acc_000313,Young Family,family,foodie,ios,paid_social,45,566,115.65,False,False
acc_000314,Smith Family,premium,budget_cooking,ios,referral,39,280,67.53,False,False
acc_000315,White & White,free,budget_cooking,android,social_media,140,21,0.0,False,False
acc_000316,The Harriss,free,foodie,ios,influencer,177,641,0.0,False,False
acc_000317,Taylor Household,free,health_fitness,ios,referral,125,651,0.0,True,False
acc_000318,Scott Household,free,health_fitness,ios,referral,127,333,0.0,False,False
acc_000319,Rodriguez Family,free,family_planning,ios,app_store_search,97,270,0.0,False,False
acc_000320,Jones & Thompson,premium,health_fitness,android,app_store_search,174,412,79.7,True,False
acc_000321,Jones Household,free,dietary_specific,android,app_store_search,60,129,0.0,True,False
acc_000322,Lee & Williams,family,foodie,android,influencer,95,172,130.0,False,False
acc_000323,The Clarks,premium,budget_cooking,android,app_store_search,81,252,67.33,True,False
acc_000324,The Walkers,free,health_fitness,android,social_media,178,569,0.0,False,False
acc_000325,Smith-Scott Kitchen,free,health_fitness,ios,app_store_search,116,389,0.0,False,False
acc_000326,Brown Household,free,budget_cooking,android,social_media,48,410,0.0,False,False
acc_000327,Moore-Hall Kitchen,free,dietary_specific,ios,app_store_search,124,123,0.0,False,False
acc_000328,Adams & Harris,free,family_planning,android,app_store_search,167,227,0.0,True,False
acc_000329,Miller-Lewis Kitchen,premium,health_fitness,android,social_media,77,86,80.81,False,False
acc_000330,The Allens,premium,health_fitness,android,referral,163,122,89.84,False,False
acc_000331,Allen-White Kitchen,premium,foodie,web,organic_search,83,577,77.68,False,False
acc_000332,Anderson & Davis,family,family_planning,web,referral,0,420,135.92,False,False
acc_000333,Jackson & Jones,free,budget_cooking,android,app_store_search,130,580,0.0,True,False
acc_000334,Baker Household,family,health_fitness,ios,referral,102,598,132.88,False,False
